"asset_type","struct","field","offset","size","serialized_type","readiness","ps3_evidence","observed_values","xbox_correlation","notes"
"Weapon","WeaponDef","OOPosAnimLength/MinDamage","0x590","0x08","float,float","RESOLVED","PS3 WeaponDef loader places these two scalars immediately after szScript at +0x58C; default_mp consumers read +0x590 with lfs and default.elf consumers read +0x590/+0x594 with lfs.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB names the adjacent fields fOOPosAnimLength and minDamage in this exact order after szScript.","Former ScriptFieldsA aggregate"
"Weapon","WeaponDef","MinPlayerDamage/MaxDamageRange/MinDamageRange/DestabilizationRateTime/DestabilizationCurvatureMax/DestabilizeDistance","0x598","0x18","int32,float,float,float,float,float","RESOLVED","PS3 WeaponDef loader places this six-cell slice after MinDamage and before the +0x5B0 scalar; default.elf/default_mp consumers hit +0x598/+0x59C as word tests and +0x5A4/+0x5A8/+0x5AC as float loads.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB names the ordered member sequence minPlayerDamage, fMaxDamageRange, fMinDamageRange, destabilizationRateTime, destabilizationCurvatureMax, destabilizeDistance.","Former ScriptFieldsB aggregate"
"Weapon","WeaponDef","DestabilizeDistanceToTimeScale","0x5B0","0x04","int32","RESOLVED","PS3 default.elf/default_mp consumers load +0x5B0 as a signed integer, convert it to float, divide by ProjectileSpeed at +0x404, and multiply by a time-scale constant before storing projectile destabilization state.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB does not expose a distinct member name here; Xbox places locationDamageMultipliers next, while PS3 loader proves the pointer is at +0x5B4. Name is PS3 behavior-derived, not Xbox-derived.","Former HitLocationField"
"Weapon","WeaponDef","TurretScopeZoomRate/TurretScopeZoomMin/TurretScopeZoomMax/TurretOverheatUpRate/TurretOverheatDownRate/TurretOverheatPenalty","0x5C4","0x18","float[6]","RESOLVED","PS3 WeaponDef loader places this six-float slice immediately after tracerType at +0x5C0 and before turretOverheatSound at +0x5DC; default/default_mp consumers read +0x5C4/+0x5C8/+0x5CC and +0x5D0/+0x5D4/+0x5D8 with lfs.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB names the ordered sequence turretScopeZoomRate, turretScopeZoomMin, turretScopeZoomMax, turretOverheatUpRate, turretOverheatDownRate, turretOverheatPenalty.","Former TracerFields aggregate"
"Weapon","WeaponTurretFields","BarrelSpinSpeed/BarrelSpinUpTime/BarrelSpinDownTime","0x5E8","0x0C","float[3]","RESOLVED","PS3 WeaponDef loader places these three scalars between turretBarrelSpinRumble at +0x5E4 and turretBarrelSpinMaxSnd at +0x5F4. default_mp function 0x0002B180 reads +0x5EC/+0x5F0 with lfs as the spin-up/down interpolation divisors.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB names the ordered sequence turretBarrelSpinSpeed, turretBarrelSpinUpTime, turretBarrelSpinDownTime in this exact slot before turretBarrelSpinMaxSnd.","Former TurretFields aggregate"
"Weapon","WeaponTurretFields","BarrelSpinUpSoundPointers[1..3]","0x5FC","0x0C","XString[3]","RESOLVED","PS3 EBOOT WeaponDef loader 0x00115064 sets the sound-alias var to root+0x5F8, loads count 4, and calls the sound-alias array loader at 0x000FEE90; therefore +0x5FC..+0x604 are entries 1..3 of the inline turretBarrelSpinUpSnd array, not independent scalars.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB names the surrounding turretBarrelSpinUpSnd array after turretBarrelSpinMaxSnd; PS3 loader proves count and inline root-cell placement.","Former Unknown5FCTo604"
"Weapon","WeaponTurretFields","BarrelSpinDownSoundPointers[1..3]","0x60C","0x0C","XString[3]","RESOLVED","PS3 EBOOT WeaponDef loader 0x0011507C sets the sound-alias var to root+0x608, loads count 4, and calls the sound-alias array loader at 0x000FEE90; therefore +0x60C..+0x614 are entries 1..3 of the inline turretBarrelSpinDownSnd array, not independent scalars.","Active Models/Loaders targeted builds pass","Xbox default_mp PDB names the surrounding turretBarrelSpinDownSnd array before missileConeSoundAlias; PS3 loader proves count and inline root-cell placement.","Former Unknown60CTo614"
"Material","MaterialInfo","GameFlags/SortKey/TextureAtlasRowCount/TextureAtlasColumnCount/DrawSurf/SurfaceTypeBits/HashIndex/Pad16","0x04","0x14","byte,byte,byte,byte,GfxDrawSurf,uint32,uint16,uint16","RESOLVED","EBOOT material loader 0x1099c8 proves fixed MaterialInfo size 0x18 and only child pointer work at +0x00; default_mp renderer consumer 0x003ab588 reads +0x04/+0x06/+0x07 as a packed material draw/sort/atlas key while the loader-proven fixed tail spans +0x04..+0x17.","common_mp loads through all assets with the split fields and no Bytes04To17 model carrier","Xbox material symbols correlate gameFlags, sortKey, textureAtlasRowCount, textureAtlasColumnCount, drawSurf, surfaceTypeBits, and hashIndex after PS3 size/offset match; +0x16..+0x17 is structure padding.","Former Bytes04To17 split into named MaterialInfo fields."
"Material","MaterialAsset","StateBitsEntries","0x18","0x25","MaterialStateBitsEntry[37]","RESOLVED","EBOOT material loader 0x10d798 copies root 0xA8; material graph places StateBitsEntry at +0x18 for exactly 0x25 bytes, matching the 37 material technique slots used throughout material/techset loaders.","common_mp loads through all assets with StateBitsEntries and no StateBitsEntryBytes model carrier","Xbox renderer assert strings name material->stateBitsEntry[context...], correlating each byte as the state-bits table index for a technique context after the PS3 offset/count match.","Former StateBitsEntryBytes split into 37 TechniqueSlot/StateBitsIndex entries."
"Material","MaterialWater","Writable","0x00","0x04","MaterialWaterWritable","RESOLVED","EBOOT water loader 0x108f50 proves the first dword is copied inline before H0X/H0Y/WTerm spectrum pointers and before M/N-driven payload loading; it is not a pointer or padding.","common_mp loads through all assets with MaterialWaterWritable instead of WritableOrTimeRaw","Xbox default_mp PDB strings expose water_t.writable and nested floatTime; PS3 offset/order/root-size proof matches the Xbox Load_water_t family.","Former WritableOrTimeRaw; exposed as writable union with FloatTime view while preserving RawValue."
"Material","MaterialWater","Lx/Lz/Gravity/WindVelocity/WindDirection/Amplitude/CodeConstant","0x18","0x2C","float[11]","RESOLVED","EBOOT water loader 0x108f50 copies a fixed 0x48 root, uses M/N at +0x10/+0x14 for the three spectrum arrays, and resolves the image pointer at +0x44, leaving exactly eleven inline floats at +0x18..+0x43.","common_mp loads through all assets with named water parameter fields and no Bytes18To43 carrier","Xbox default_mp PDB strings expose water_t fields wTerm, gravity, windvel, winddir, amplitude, and codeConstant in the same water_t family; Lx/Lz are correlated from the established IW water FFT field sequence after PS3 offset/size match.","Former Bytes18To43 split into water FFT/scalar parameters and CodeConstant."
"XModel","XModelAsset","Scale/NoScalePartBits","0x08","0x1C","float,uint32[6]","RESOLVED","EBOOT XModel body 0x111698 copies fixed 0x120 root; child pointer table starts at +0x24, leaving +0x08 float plus six dwords before boneNames.","common_mp loads through all assets with named fields and no Bytes08To23 carrier","Xbox default_mp PDB ordered XModel member list places scale and noScalePartBits immediately after numsurfs and before boneNames; PS3 root offsets match that field sequence.","Former Bytes08To23 split into Scale and NoScalePartBits."
"XModel","XModelAsset","MaxLoadedLod/NumLods/CollLod/Flags","0xE0","0x04","byte[4]","RESOLVED","EBOOT XModel loader stores lodInfo[4] at +0x40..+0xDF, then collSurfs pointer at +0xE4; the four intervening root bytes are loader-copied scalar LOD/control bytes.","common_mp loads through all assets with these four bytes modeled explicitly","Xbox default_mp PDB ordered XModel member list places maxLoadedLod, numLods, collLod, and flags between lodInfo and collSurfs; this also accounts for a previously missing model coverage gap.","Added after discovering the active loader skipped +0xE0..+0xE3 while parsing LODs separately."
"XModel","XModelAsset","Contents","0xEC","0x04","int32","RESOLVED","EBOOT XModel body reads collSurfs pointer at +0xE4, numCollSurfs at +0xE8, and boneInfo pointer at +0xF0; +0xEC is the single dword between the collision-surface count and bone-info pointer.","common_mp loads through all assets with Contents and no BytesECToEF carrier","Xbox default_mp PDB ordered XModel member list places contents at this slot; runtime symbols expose XModelGetContents and collision/trace consumers.","Former BytesECToEF."
"XModel","XModelAsset","Radius/Bounds","0xF4","0x1C","float,Bounds","RESOLVED","EBOOT XModel body has boneInfo pointer at +0xF0 and invHighMipRadius pointer at +0x110; the intervening 0x1C bytes split as one float plus a 0x18-byte Bounds record.","common_mp loads through all assets with Radius/Bounds and no BytesF4To10F carrier","Xbox default_mp PDB ordered XModel member list places radius and bounds between boneInfo and invHighMipRadius; PS3 consumers access this region with floating-point loads in model/render/collision paths.","Former BytesF4To10F."
"XModel","XModelAsset","MemUsage","0x114","0x04","int32","RESOLVED","EBOOT XModel body places invHighMipRadius pointer at +0x110 and PhysPreset pointer at +0x118; +0x114 is the single dword between them.","common_mp loads through all assets with MemUsage and no Bytes114To117 carrier","Xbox default_mp PDB ordered XModel member list places memUsage in this slot; runtime symbols expose XModelGetMemUsage.","Former Bytes114To117."
"XModel","XModelLodInfo","Dist","0x00","0x04","float","RESOLVED","EBOOT Load_XModelLodInfo 0x106990 copies a fixed 0x28 entry and resolves only the modelSurfs pointer at +0x08; the first dword precedes numSurfs at +0x04 and is consumed as LOD distance.","common_mp loads through all assets with Dist and no Bytes00To03 carrier","Xbox default_mp PDB ordered XModelLodInfo member list places dist first, then numsurfs, surfIndex, modelSurfs, partBits, surfs.","Former Bytes00To03."
"XModel","XModelLodInfo","SurfIndex","0x06","0x02","uint16","RESOLVED","EBOOT Load_XModelLodInfo 0x106990 preserves the ushort between NumSurfs at +0x04 and modelSurfs pointer at +0x08; the fixup path keeps the same entry layout.","common_mp loads through all assets with SurfIndex and no Bytes06To07 carrier","Xbox default_mp PDB ordered XModelLodInfo member list names this field surfIndex after numsurfs.","Former Bytes06To07."
"XModel","DObjAnimMat","Quat/Trans/TransWeight","0x00","0x20","float[4],float[3],float","RESOLVED","EBOOT XModel loader reads baseMat at root +0x38 as NumBones * 0x20 via Load_DObjAnimMatArray; default_mp consumers access +0x00..+0x1C with floating-point loads in DObj/base-pose and matrix-transform paths.","common_mp loads through all assets with DObjAnimMat typed as Quat, Trans, and TransWeight","Xbox default_mp PDB strings expose DObjAnimMat fields quat and transWeight, and runtime symbols MatrixTransformVectorQuatTrans/DObjGetBasePoseMatrix/DObjSetTrans correlate the 0x10..0x1B slice as translation.","Former DObjAnimMat.Bytes."
"XModel","XModelCollSurf","Bounds/BoneIndex/Contents/SurfaceFlags","0x00","0x24","Bounds,int32,int32,int32","RESOLVED","EBOOT XModel loader reads collSurfs at root +0xE4 as NumCollSurfs * 0x24 via Load_XModelCollSurfArray; the element loader consumes a fixed 0x24 row and does not chase child pointers.","common_mp loads through all assets with typed XModelCollSurf rows","Xbox default_mp PDB ordered XModelCollSurf_s member list is bounds, boneIdx, contents, surfFlags; Xbox map exposes XModelTraceLine/Phys_ObjSetCollisionFromXModel consumers for the same model-collision surface family after PS3 stride/order proof.","Former XModelCollSurf.Bytes."
"XModel","XBoneInfo","Bounds/RadiusSquared","0x00","0x1C","Bounds,float","RESOLVED","EBOOT XModel loader reads boneInfo at root +0xF0 as NumBones * 0x1C via Load_XBoneInfoArray; the element loader consumes a fixed 0x1C row and does not chase child pointers.","common_mp loads through all assets with typed XBoneInfo rows","Xbox default_mp PDB ordered XBoneInfo member list is bounds, radiusSquared; Xbox map exposes DObjGetBoneInfo and XModel trace/animated consumers after PS3 stride/order proof.","Former XBoneInfo.Bytes."
"XModel","GfxVertexBuffer/GfxIndexBuffer","StreamSource/DataOffset","0x1C/0x28/0x38","0x08/0x08/0x04","int32,int32 / int32","RESOLVED","EBOOT Load_XSurface 0x000FDA50 sets varGfxVertexBuffer to XSurface +0x1C and +0x28 and calls helpers 0x000F92E0/0x000F9148; those call Load_Stream for 8 bytes and then write dword0 stream source selector plus dword1 data offset. It sets varGfxIndexBuffer to +0x38 and helper 0x000FD9A8 calls Load_Stream for 4 bytes and writes only the index data offset. Later PS3 XSurface consumers prove +0x3C belongs to XSurface.PartBits, not GfxIndexBuffer padding.","common_mp loads through all assets with Vb0/Vb1 parsed as GfxVertexBuffer and IndexBuffer parsed as a 4-byte GfxIndexBuffer.DataOffset","Xbox maps correlate helper/type names Load_GfxVertexBuffer, Load_GfxIndexBuffer, R_LocateVertexBufferData, and R_LocateIndexBufferData after PS3 offset/size proof.","Former XSurfaceGpuBuffer.Bytes; previous Pad3C interpretation superseded by XSurface.PartBits consumer proof."
"XModel","XRigidVertList","BoneOffset/VertCount/TriOffset/TriCount","0x00","0x08","uint16[4]","RESOLVED","EBOOT Load_XRigidVertList 0x000F8C30 copies fixed 0x0C rows and resolves collisionTree at +0x08; Load_XRigidVertListArray 0x000F8D40 proves array stride 0x0C, leaving four ushort scalar slots before the pointer.","common_mp loads through all assets with typed XRigidVertList scalar fields","Xbox maps and consumer strings correlate XRigidVertList with boneOffset, vertCount, triOffset, and triCount; gfx:r_marks asserts use boneIndex + boneOffset and r_model/rb_tess paths assert triCount/vertCount after PS3 stride/order proof.","Former Bytes00To07."
"XModel","XSurfaceCollisionTree","Trans/Scale","0x00","0x18","Vec3,Vec3","RESOLVED","EBOOT Load_XSurfaceCollisionTree 0x000F28C0 copies a fixed 0x28 tree, then reads nodeCount at +0x18, nodes pointer at +0x1C, leafCount at +0x20, and leafs pointer at +0x24; first 0x18 bytes are two three-float vectors.","common_mp loads through all assets with typed tree header and no Bytes00To17 carrier","Xbox default_mp PDB ordered type strings place trans and scale before nodeCount/nodes/leafCount/leafs in XSurfaceCollisionTree; PS3 loader offsets/size match that 0x28 layout.","Former Bytes00To17."
"XModel","XSurfaceCollisionNode","Aabb/ChildBeginIndex/ChildCount","0x00","0x10","XSurfaceCollisionAabb,uint16,uint16","RESOLVED","EBOOT Load_XSurfaceCollisionNodeArray 0x000E9A68 loads count * 0x10 for nodes; the tree loader passes nodeCount from +0x18 and aligns node payloads to 16 bytes.","common_mp loads through all assets with typed collision nodes and no Bytes carrier","Xbox default_mp PDB ordered type strings place XSurfaceCollisionAabb aabb, childBeginIndex, and childCount in XSurfaceCollisionNode; the adjacent XSurfaceCollisionLeaf type names the leaf ushort triangleBeginIndex.","Former XSurfaceCollisionNode.Bytes."
"Sound","SoundFile","LoadedSoundFile/StreamedSound selected payload","0x04","0x0C","union","RESOLVED","EBOOT SoundFile dispatcher 0x0010A468 proves Type == 1 routes +0x04 through the LoadedSound* alias-cell wrapper and all other observed values route through the streamed branch. Active model now exposes selected SoundFilePayload branches, not UnionRaw0/1/2 author-facing fields.","common_mp loads through all assets with selected SoundFilePayload and no active SoundFile.UnionRaw fields","Xbox Load_SoundFile, Load_LoadedSound, Load_StreamedSound, and SND_IsNullSoundFile names correlate after PS3 branch proof.","Former duplicate cleanup row for UnionRaw0/UnionRaw1/UnionRaw2."
"Sound","StreamedSound","StreamFileOffset/DirectoryPointer","0x04","0x04","int32 or XString","RESOLVED","PS3 streamed branch uses FileIndex at SoundFile +0x04 as the sub-branch key. When FileIndex == 0, +0x08 is a direct XString cell for the external streamed-sound directory; when FileIndex != 0, +0x08 is the stream-file offset and is not resolved as a string.","common_mp loads through all assets with selected StreamedSoundSource and no RawOffsetOrDirectoryPointer field","Xbox Load_StreamedSound and XA_StreamSoundFileDataOffset names correlate the stream-file path after PS3 FileIndex branch proof.","Former RawOffsetOrDirectoryPointer."
"Sound","StreamedSound","StreamFileLength/FilenamePointer","0x08","0x04","int32 or XString","RESOLVED","PS3 streamed branch uses FileIndex at SoundFile +0x04 as the sub-branch key. When FileIndex == 0, +0x0C is a direct XString cell for the external streamed-sound filename; when FileIndex != 0, +0x0C is the stream-file length and is not resolved as a string.","common_mp loads through all assets with selected StreamedSoundSource and no RawLengthOrFilenamePointer field","Xbox Load_StreamedSound and XA_ProcessStreamSoundFile names correlate the stream-file path after PS3 FileIndex branch proof.","Former RawLengthOrFilenamePointer."
"Fx","FxElemDefVisuals","Visual","0x00","0x04","selected FxElemVisual union","RESOLVED","EBOOT Load_FxElemDefVisuals 0x00112D20 proves the +0xBC cell is selected by elemType and visualCount: Decal uses an FxElemMarkVisuals array pointer, visualCount > 1 uses an FxElemDefVisuals array pointer, and inline visuals dispatch through Load_FxElemVisuals 0x00112BA0. Active model now exposes selected FxElemVisual branches rather than an author-facing Raw XPointer<object>.","common_mp loads through all assets with FxMaterialVisual/FxModelVisual/FxSoundVisual/FxEffectVisual/FxNoChildVisual and no active FxElemDefVisuals.Raw field","Xbox default_mp.map names Load_FxElemDefVisuals, Load_FxElemVisuals, Load_FxElemMarkVisuals, and DB_SetAlwaysLoadedFxElemVisuals; branch names correlate after PS3 elemType/visualCount proof.","Former FxElemDefVisuals.Raw."
"Menu","ItemDefData","Value","0x00","0x04","selected ItemDefDataValue union","RESOLVED","EBOOT ItemDef typeData dispatcher 0x0010E850 proves the +0x184 cell is selected by ItemDef.type: edit-field types 0/4/9/10/11/14/16/17/18/22/23 use EditFieldDef, type 6 uses ListBoxDef, type 12 uses MultiDef, type 13 uses an XString enumDvarName, type 20 uses NewsTickerDef, type 21 uses TextScrollDef, and all other types have no typed child load.","common_mp loads through all 10091 assets with selected ItemDefDataValue branches and no active ItemDefData.RawPointer field","Xbox UI names correlate EditFieldDef/ListBoxDef/MultiDef/enumDvarName/NewsTickerDef/TextScrollDef after PS3 branch table, payload sizes, and consumers are matched.","Former ItemDefData.RawPointer."
"Menu","Operand","Value","0x04","0x04","selected OperandValue union","RESOLVED","PS3 Statement/Expression loader switches Operand.dataType at 0x0010CCF8: VAL_INT keeps the word as an int scalar, VAL_FLOAT keeps the same bits as a float scalar, VAL_STRING resolves the word as a direct XString pointer from the operand cell, and VAL_FUNCTION resolves it as a direct Statement pointer. Runtime EvaluateExpression 0x002332E0/PushOperand 0x00233910 consume the selected operand value by dataType.","common_mp loads through all 10091 assets with selected IntOperandValue/FloatOperandValue/StringOperandValue/FunctionOperandValue branches and no active OperandInternalData.Raw field; inline VAL_STRING operands point directly at string bytes, not an ExpressionString wrapper","Xbox expression names correlate after PS3 dataType switch, evaluator behavior, and official-byte direct XString validation are matched.","Former OperandInternalData.Raw."
"Menu","EventData","Value","0x00","0x04","selected EventDataValue union","RESOLVED","EBOOT MenuEventHandler loader 0x0010C180 copies the 0x08 handler root and dispatches EventData +0x00 through selector byte +0x04 at 0x0010C100: type 0 resolves a direct XString script, type 1 resolves ConditionalScript, type 2 resolves a nested MenuEventHandlerSet, and types 3..6 resolve SetLocalVarData. Active loader constructs selected EventDataValue branches after reading the selector.","common_mp loads through all 10091 assets with selected UnconditionalScriptEventData/ConditionalScriptEventData/ElseScriptEventData/SetLocalVarEventData branches and no active EventData.Data or EventData.Raw carrier","Xbox MenuEventHandler/EventData names correlate after PS3 selector, branch helpers, payload sizes, and child order are matched.","Former EventData.Data/Raw."
"XAnim","XAnimPartsAsset","PackedDataStreams/Indices","var","count-driven","XAnimPackedDataStreams + XAnimFrameIndexStream","RESOLVED","EBOOT Load_XAnimParts 0x00115FC0 proves the +0x34/+0x38/+0x3C/+0x40/+0x44/+0x48 child stream order, widths, alignments, and count fields, and Load_XAnimIndices 0x000F5B18 selects byte or ushort frame indices by numFrames. default_mp XAnim calc consumer 0x00292478 loads the same six packed stream pointers and +0x4C indices from the XAnimParts root, partitions them with the root track-count ladder, and decodes them as quantized animation keyframe channels rather than opaque payload bytes.","common_mp loads through all 10091 assets with typed XAnimPackedDataStreams and XAnimFrameIndexStream; strict pointer validation remains untypedTargets=0","Xbox xanim_calc names XAnimCalcParts, XAnimMovePastFrameIndices, and XAnimCalcNonLoopEnd correlate after PS3 loader order and default_mp consumer pointer/width behavior are matched.","Former byte/short/int stream payloads were validated but not represented in the active model."
"XAnim","XAnimPartTransFrames","DynamicFrames/FramePayload","var","count-driven","XAnimDynamicFrames + selected translation frames","RESOLVED","EBOOT Load_XAnimPartTransFrames 0x000F3578 reads a 0x1C root, then Load_XAnimDynamicFrames 0x000ED920 consumes one frame index per trans frame as bytes when numFrames <= 255 or ushorts otherwise. The +0x18 payload pointer is selected by smallTrans: smallTrans != 0 loads three quantized bytes per frame, otherwise it loads three int16 components per frame.","common_mp loads through all 10091 assets with XAnimDynamicFrames.FrameIndices plus SmallXAnimTransFramePayload/LargeXAnimTransFramePayload records; asset 8907 proves the 11 byte dynamic indices followed by 33 smallTrans payload bytes","Xbox loader names Load_XAnimDynamicFrames, Load_XAnimPartTransFrames, and Load_XAnimPartTransData correlate after PS3 branch sizes and official-byte source order are matched.","Former frame payload byte-count-only model."
"XModel","XSurface","PartBits","0x3C","0x18","uint32[6]","RESOLVED","EBOOT Load_XSurface 0x000FDA50 copies fixed 0x54 XSurface rows and does not chase child pointers after GfxIndexBuffer.DataOffset at +0x38. default_mp consumer 0x0011F718 and default consumer 0x000C3FA8 iterate surfaces with stride 0x54, copy +0x3C/+0x40/+0x44/+0x48/+0x4C/+0x50 as six dwords, then combine them with shifted bone/part masks for surface selection.","common_mp loads through all assets with XSurface.PartBits[6] and no Pad3C/Bytes40To53 carrier","Xbox default_mp map/PDB correlate XSurfaceVisitTrianglesInAabb, XSurfaceTraceLine, R_PreSkinXSurface, partBits, surfPartBits, and hidePartBits after PS3 stride/offset proof.","Opened as Bytes40To53; PS3 consumers prove the field starts at +0x3C and covers six dwords through +0x53."
"GfxMap","GfxWorldAsset","Unknown26C","0x26C","0x04","uint32","OPEN","EBOOT Load_GfxWorld 0x00112040 copies the 0x288-byte root and does not dispatch a child loader for +0x26C; tail child loaders begin at +0x274 after count +0x270.","mp_boneyard GfxWorld root: 0x035692D8","CODResearch MW2 GfxWorld tail is incomplete here; no PS3 consumer proof recorded yet.","Root byte is accounted for by model/load-stream copy but semantic meaning remains open."
"GfxMap","GfxWorldAsset","Unknown278","0x278","0x04","uint32","OPEN","EBOOT Load_GfxWorld 0x00112040 copies the 0x288-byte root and does not dispatch a child loader for +0x278; +0x27C is the size used by both +0x280 and +0x284 VIRTUAL payloads.","mp_boneyard GfxWorld root: 0x02000000","CODResearch MW2 GfxWorld tail is incomplete here; no PS3 consumer proof recorded yet.","Root byte is accounted for by model/load-stream copy but semantic meaning remains open."
"GfxMap","GfxPortal","Unknown20To21","0x20","0x02","byte[2]","OPEN","EBOOT Load_GfxPortal 0x000F4FB0 copies a 0x3C row, resolves vertices at +0x1C, and uses byte +0x22 as vertex count. Bytes +0x20..+0x21 are copied but no PS3 consumer proof has been recorded yet.","mp_boneyard pending GfxMap load logging","CODResearch MW2 GfxPortal names the surrounding writable, plane, vertices, vertexCount, and hullAxis fields but leaves these two bytes semantically unproven for PS3.","Accounted root-row bytes; revisit with renderer/portal consumers."
"GfxMap","GfxStaticModelInst","Unknown1CTo23","0x1C","0x08","byte[8]","OPEN","EBOOT Load_GfxWorldDpvsStatic 0x00111C98 loads GfxStaticModelInst rows through helper 0x000E3850 with stride 0x24; CODResearch-correlated mins/maxs/groundLighting account for +0x00..+0x1B only.","mp_boneyard pending GfxMap load logging","CODResearch MW2 GfxStaticModelInst lists mins, maxs, and groundLighting but does not account for the PS3 0x24 stride tail.","Accounted row bytes; needs PS3 static-model draw/lighting consumer proof."
"GfxMap","SrfTriangles","Unknown08","0x08","0x04","uint32","OPEN","EBOOT Load_GfxSurface 0x001102E8 copies each 0x1C-byte surface row and stores varMaterialHandle from surface +0x14 before calling the material pointer loader, proving the triangle substructure spans +0x00..+0x13 on PS3. default_mp consumer 0x0035e3e0 proves surrounding fields: +0x00 is added to worldDraw.vertexLayerData(+0x3C), +0x04 selects worldDraw.vertexData(+0x2C) in 0x10-byte vertices, +0x0E is triCount, and +0x10 selects worldDraw.indices(+0x4C). It does not read +0x08.","mp_boneyard first surface rows show +0x08 values like 0x00000028/0x00000008/0x00000024, while +0x0C packs plausible vertexCount/triCount pairs such as 0x0004/0x0002 and +0x10 advances like baseIndex 0, 6, 12.","CODResearch MW2 lists the surrounding srfTriangles_t names and GfxSurface material/lighting fields, but its 0x10-byte triangle shape conflicts with the PS3 +0x14 material-pointer offset, so +0x08 remains PS3-open. Xbox R_SetStreamsForBspSurface/R_DrawBspTris names are correlation only until the PS3 draw stream-binding consumer is matched.","Accounted surface-row bytes; PS3 0x0035e3e0 proves adjacent runtime buffer use but leaves +0x08 semantic meaning open."
"GameMapMp","G_GlassData","Pad14To7F","0x14","0x6C","byte[108]","RESOLVED","EBOOT Load_G_GlassData 0x00105D58 copies a fixed 0x80-byte root and only dispatches child loaders from +0x00 using count +0x04 and +0x10 using count +0x0C. default_mp/EBOOT structure-pattern scans produced only false positives; manual inspection found no confirmed consumer anchored to GameWorldMp.g_glassData or the loader-proven G_GlassData root tail.","mp_boneyard asset[322] observes 108 zero bytes in G_GlassData +0x14..+0x7F after correcting GfxWorld.dpvs.surfaceMaterials to RUNTIME and loading GameMapMp at source 0x2D1863B.","Xbox default_mp PDB TPI record G_GlassData type 0x9BDE has size 0x80/count 7 and member 6 named pad at +0x14. Its type 0x9BDC is LF_ARRAY elem T_UCHAR index T_ULONG size 108.","Former Unknown14To7CWords/Reserved14To7FWords; accounted as Xbox-correlated byte padding after PS3 fixed-root size and offset proof, not a runtime-state structure."
"ColMapMp","clipMap_t","UnknownD0ToFF","0xD0","0x30","byte[48]","OPEN","EBOOT Load_clipMap_t 0x00113458 copies the fixed 0x100 root and dispatches no child loader for +0xD0..+0xFF after checksum +0xCC; mp_boneyard.ff validates complete source coverage and typed offset pointer proof through ColMapMp asset[323].","mp_boneyard clipMap_t root source 0x2D1A1C3 has +0xD0..+0xFF all zero bytes.","CODResearch MW2 clipMap_t names this tail unknown5[0x30]; Xbox map/PDB exposes Load_clipMap_t/Mark_clipMap_t but no PS3-proven semantic consumer for the tail has been recorded.","Root bytes are owned by the model and loader. Keep UnknownD0ToFF until PS3/default_mp consumer evidence proves a stronger semantic name."
